Emotion,Text
sad,They all seem terribly sad .
happy,"He was a contented man for he had a good wife , a prosperous farm in Upper Caversham some four miles from Reading market , had had a good season and a financially successful day . "
happy,"Breakfast was quite a social affair as we were frequently visited by new found friends in the shape of two fat and very vocal geese , a young swan and a bevy of excited ducks . "
shame,I could tell from the blank embarrassment in Tom 's expression that she had not acknowledged him .
fear,"She felt disquieted at the lack of interest the girl had shown -- anything might happen in this sort of house , she told herself indignantly . "
happy,"Paula , mother of Nicola , 4 , and Richard , 2 , was pleased when the local council made the playground in the town park more child-friendly . "
surprise,"She saw his fear , his bewilderment , and above all , a kind of astonishment at the enormity of the complications that lay ahead . "
surprise,"His last illness was the most violent , and his doctors were astounded that he survived it . "
surprise,"With a last , quizzical look at her slightly stunned expression , he waited for Mike to join him , then both men walked out of the suite , leaving her alone with Ace . "
anger,I laughed -- I did n't feel offended .
shame,"He felt guilty as he thought of Maeve 's sweet face , and embarrassed that he should be so powerfully attracted to a woman dedicated to God . "
sad,"He wandered around in a state of utter dejection , belonging nowhere . "
anger,"And Victoria now pulled her granddaughter past the indignant old lady , whose face was expressing shock . "
happy,"` I 'm so happy you could make it , my favourite jockey . "" "
disgust,"Charles opened his eyes warily , disgruntled at being dragged out of his dream . "
fear,"Her ladyship looked frightened , shocked . "
fear,"This ` return to the sources "" discovers either that such primitive celebrations are entirely divorced from modern sexuality , or that they always concealed a deathly horror . "
disgust,"As she turned to walk on she shivered , affected by a chilliness that seemed to be an expression of her revulsion . "
happy,"But now he has made a full recovery to the delight of his proud parents , Fred and Denise . "
disgust,"` God , what an accursed night ! "" mumbled Mr Beckenham , and , sipping his liquor , he looked over the makeshift meal with revulsion . "
happy,"Auguste sat in the small balcony with his mother and father , for once not noticing the unaccustomedness of their best clothes , so excited were they . "
shame,"Do n't be embarrassed about lying on a bed in the shop to try it out , and make sure you test the actual size you want to buy . "
disgust,"However , the existence of a potential rival , no matter how eccentric , meant that there was an alternative fascist allegiance open to disgruntled members of the BUF . "
disgust,"But equally , it provided a home for some of the darkest forms of distrust of and revulsion from sex and marriage . "
disgust,"Floy and Snodgrass , unable to look away , were sickened and awed . "
surprise,"Lomponda wa Botende , a former Chief of Staff , expressed his astonishment at the report , and the Defence Ministry denied that any coup attempt had been made . "
shame,"When I did eventually tell her she was really embarrassed , and tried telling me that I was making it up ! "
shame,"Obviously he was not going to speak and Jenna was embarrassed at being caught here , more embarrassed still at the idea of walking haughtily to her room without a word . "
happy,So we 're quite excited about it and also it 's quite a major problem .
surprise,"At a nervous and hurriedly arranged press conference , the Ibrox publicity machine could barely paper the cracks between the departing boss and his bewildered chairman . "
disgust,"However , I quite enjoyed describing the horrors of my creation , and shared with Edward Young , the architect , his revulsion for the hideous house , covered in peeling stucco , as chilling within as without . "
sad,"Leapor was still downcast about the loss of her job , perhaps unable to write much poetry , when she met Freemantle . "
anger,"His face was livid , and his hand had clapped to his sword . "
happy,I remembered that Tansy had said something about a pendant and Topaz being quite excited about it .
anger,Mr Brown was livid at the way 1 billion in precious foreign reserves was poured down the drain during the sterling fiasco a fortnight ago .
anger,He says that he was so mad that he got a knife to scare them .
shame,"When I did eventually tell her she was really embarrassed , and tried telling me that I was making it up ! "
surprise,"It is also worth speculating on the fate of what must have been a nonplussed Christopher Chryselius , Sir John Pennington must have been thoroughly annoyed at the outcome , too . "
fear,"The Spaniard was becoming agitated again , wondering whether he had already gone too far . "
anger,"A terrible , furious , impotent anger filled him , making him want to strike out , to shout and scream . "
sad,She sounded a little low-spirited .
disgust,Senator Sherman had shot marginally less well than his son and was openly disgruntled about this .
happy,"I found that most parents were initially rather shocked at finding out their daughter was pregnant , some cried , some got angry , some were very matter-of-fact , and some were quite pleased . "
anger,Wheeler 's fine face flushed with annoyance and he laughed .
shame,He gets real humiliated and has to leave .
happy,"The warden and his wife , being owners of a Siamese cat , were not overjoyed to see Emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night . "
fear,"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . "
sad,I am not downhearted .
surprise,She seemed to be almost floating and Maggie was astounded that the sharp stones had not given her enough pain to waken her .
happy,"During the day her mother seemed happy at times , baking , trying out fresh recipes , or changing yet again the curtains , or crocheting new chair-backs . "
surprise,"Charles was absolutely flabbergasted , but he had n't really got time to analyse his reactions . "
happy,"The bouncer 's glee , the masculine grunts in the background of ` Quite right , too "" , were a timely reminder of surviving and thriving misogyny , and of the petty power struggle it engenders . "
surprise,I 'm downright flabbergasted to know you 're treatin' Dolly so unkind an' beatin' 'er as well .
surprise,He felt a mixture of astonishment at himself and irritation that his rigid daily routine was going to be broken after forty undisturbed years .
surprise,"She took two or three large breaths over the top of her bag of groceries , while Mrs Stych watched her stupefaction with complacency . "
surprise,"I heard no more of the debate and to the astonishment of my fellow delegates I stormed out of the auditorium and locked myself away in the Ladies to howl out my rage , alone . "
fear,Her brightness was forced and she was clearly nervous at what might be about to happen .
fear,"Even as he spoke , she saw the dawning horror in his eyes . "
happy,` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half .
shame,"The kids were mortified but I thought it was a real hoot . "" "
fear,Polanski had received notices of similar disquiet over his films .
anger,In her incensed whisper she called me names I did n't understand .
shame,"The most uncomfortable part now is the interviews , because I ca n't put on an act , particularly on TV , I get really embarrassed seeing myself . "
disgust,Her disgruntlement arose from the now obvious fact that the prince was enamoured of Joan .
happy,"She grinned , delighted at this mind-reading . "
happy,The young lord was overjoyed to see what a beautiful wife his friends had found for him .
shame,By resorting to a money-lender it became more difficult to conceal their embarrassment -- than if they had merely run up bills with retailers .
shame,"One episode ends with the proud man broken , humiliated and in tears . "
anger,I said I thought Surkov felt resentful because the novels had n't made more money .
shame,He could n't take home business associates for dinner because he was embarrassed for them to see you .
anger,"Kisling was livid , and with the help of some friends managed to grab the sculptor and throw him down the stairwell from the seventh floor . "
surprise,"Anne watched her for a few moments in stunned silence , trying to decide if she meant what she had said . "
anger,She was offended and took it all personally .
surprise,"Pitching my voice to a tone of mild puzzlement , I called , ` What 's a rattlesnake doing up here ? "" "
anger,"The rebel Serbs were miffed that Bildt planned no trip to their stronghold of Pale , east of Sarajevo ."
anger,She really was mad about what she 'd just found in her freezer .
sad,"Diana took the criticism to heart , avidly read what was being said about her and became depressed and despondent . "
happy,"And suddenly they found themselves talking the sort of language that all of us can understand , and they got quite excited about this . "
sad,"A sad old woman rose from her chair , as from a dais , to take their coats and hang them on a row of hooks nailed against a wall . "
fear,Aggie looked horrified as she caught sight of the horse dung on his hobnailed boots .
anger,Liz 's anger towards Raquel dates back to a charity dinner this year .
happy,"Emily suddenly felt a surge of elation , she was eager for the new experience of being introduced into what she considered was the world of adulthood . "
shame,"` Now you are mocking me , "" Vologsky murmured , with a slightly embarrassed smile . "
anger,"I go along and watch women 's football and get really infuriated to see a man out there refereeing the game , and often in a very condescending manner ! "
anger,Frau Nordern allowed herself a note of exasperation .
fear,Vincent was irritated but not dismayed .
surprise,"In front of stunned mourners he told grieving widow Linsay Robinson to ` pay up or else "" . "
shame,"They might have been in the private wing , put away by their guilty and embarrassed families . "
sad,"To misquote you : he is itinerant because he is miserable . "" "
sad,"His head , craning neck ; one moment high , straining to the ceiling ; then , a sigh , utter dejection , dropped down between his knees , his forehead pressed to the floor . "
surprise,Jinny was so startled that she nearly kicked the bucket over .
shame,Americans get so ashamed about that kind of attitude .
anger,"But , determined that he should n't have the satisfaction of seeing her vexation , she said drily , ` Do n't mention it ; I 'm only glad it was n't rush-hour . "" "
fear,"He was more frightened than he had been in all the time he had been with them , and he could tell that the girl was frightened too , by her quick , shallow breathing . "
happy,This did the trick : the boys now have a more distant friendship and David is much happier .
anger,"Lucien made a small , indignant sound , his arms flailing before he recovered his poise . "
shame,Now she was getting increasingly embarrassed as Mattie sat waiting for O'Neill .
sad,"I am so desolate -- oh , but please , it is all arranged and say no more . "" "
surprise,Mr Stokill must have noticed my look of bewilderment .
surprise,"The Odones were left stunned when they were told in 1984 at the Children 's Hospital in Washington DC that their fun-loving , brilliant six-year-old son -- he already spoke three languages -- had ALD , and was under sentence of death . "
fear,The parents are horrified and I am totally disgusted .
surprise,` At first I was too flabbergasted to do anything .
happy,"Overjoyed at the prospect , she found it difficult to conceal her excitement from those around her . "
anger,"` No , "" she replied briefly , feeling more and more resentful . "
fear,Strachan was alarmed at the way the German defence manhandled the 33-year-old front-runner and got away with it .
sad,The Brazilian lover was looking increasingly disconsolate .
shame,A lot of the time you just shoot because you 're caught up in something then you see it published and you 're a bit embarrassed because in your heart you know what it was .
fear,"IMPRESSED just this side of awe as I am by the Department of Transport and its fearless tackling of such problems as juggernaut lorries and EEC regulations , I must nevertheless confess some disquiet about a recent plan . "
shame,"His embarrassment about self-disclosure gives the impression , belied by his other books , that he knew nothing of the mystery that grace works by means of human weakness , not by side-stepping it . "
disgust,Now fed-up councillors are planning to meet officials from the Re-Roof Housing Association .
disgust,THE Government 's cash-before-care NHS shake-up has come under fire -- from sickened hospital managers .
happy,"` You know Joanna will be overjoyed to see you in any condition . "" "
happy,"We act cool , like we 're not delighted to meet up again , then we sit round the kitchen table and talk . "
anger,Irina hung up in exasperation .
fear,I was petrified of having the same thing as my mother did .
sad,"Jessica felt more than flustered , she felt devastated . "
anger,"Rebecca went in search of her bag , and Lissa sent an irate look in Adam 's direction . "
disgust,"THE sickened owner of a horse which was attacked in its stable at Newton Bewley , near Hartlepool , is appealing for help in tracking down the thugs responsible . "
surprise,I was astonished at the smallness of the area which these enclosed .
sad,How does it make someone like a woman who has just had an abortion feel having to go to a lavatory to express her grief in tears ?
anger,"I shrug my shoulders , for no matter how mad he gets , he ca n't duff me in , he 's stuck in bed , which is his hard cheese . "
sad,"Wycombe were beaten by Bob Taylor 's 82nd-minute winner , and their disconsolate boss Martin O'Neill said : ` I was actually looking forward to extra-time because I was so sure we would win . "
shame,My father had been embarrassed when my mother or I had wept at the time of his leaving .
surprise,"To those workers who profess bewilderment as to how they might help , who feel their knowledge in sexual matters is insufficient or are doubtful of their capabilities for sexual counselling and aid , one would suggest that they raise the matter within their training departments . "
disgust,"One of Greece 's largest hunting clubs , located in the northern port city of Salonica , said in an announcement that it was `` revolted '' by the dog fights ."
anger,"It joined me for the rest of the holiday , much to the annoyance of my fellow passengers . "
surprise,"She saw his fear , his bewilderment , and above all , a kind of astonishment at the enormity of the complications that lay ahead . "
shame,GRAHAM TAYLOR will defy the fury of a humiliated nation and risk his entire reputation on an England miracle in the next five months .
disgust,Leonora shook her head in revulsion .
surprise,"At a nervous and hurriedly arranged press conference , the Ibrox publicity machine could barely paper the cracks between the departing boss and his bewildered chairman . "
sad,"Country folklore has it that dobies were actually the sad little GHOSTS of unwanted or plain women , who would fumble around the house trying to be useful until their spirits had been exorcised . "
shame,"Work in pairs , just round the table , do n't be embarrassed with , John , Clare , Phil and Ed . "
anger,Sly was left feeling absolutely livid .
disgust,Even in the 1930s the anti-Semitism of literary figures like Hilaire Belloc and G. K. Chesterton co-existed uneasily with their revulsion at the racial policies of the new Germany .
surprise,"What 's so terrible for IMP in that ? "" she blustered , still bewildered why he should find the idea of it so important . "
sad,"They gossip and joke and giggle like schoolgirls : very different from their daughters-in-law who are sometimes seen shuffling behind them , heavily veiled and silent and with the downcast eyes of prisoners under guard . "
surprise,"When Ramsey came to read the book himself , later in life , he was astonished , and at one point burst out laughing , to discover what irrational expressions he could use . "
surprise,"Scott ran a hand through his hair , bewilderment on his face . "
shame,"I was quite embarrassed when we did it two years ago . "" "
fear,"The repeal movement 's national leadership , alarmed about Hopkins ' activities , wrote warning her against any collusion with the enemy . "" "
fear,Some of us contemplate this prospect with horror .
surprise,He laughed at Claudia 's startled expression .
anger,"He was on his feet , the chair toppling over behind him , his face livid , his knuckles white-ridged and aimed at her . "
sad,Amanda 's grief for her father was compounded by anxiety over his ontological status .
shame,But instances like the Primitives get rarer and already one feels ashamed for indulging such backward passions .
anger,"He was coming so fast that she knew he had not seen her and she had to brake sharply , frowning with exasperation . "
fear,Both are designed to convince the readership of the horror of the subject-matter .
happy,"Mungo felt elated , smiling back . "
anger,"Plummer wanted to know , a note of exasperation in his voice . "
happy,The London Irish Women 's Centre are pleased to announce that the Irish language classes for adults will continue with Siobhan Ni Neill on Fridays from 10.30 am to 12.30 starting on Feb 7 .
anger,Faint annoyance began to show on Major Tzann 's face .
anger,Fruit and vegetable growers in the area are furious about the decision .
surprise,"Sonia and Helen flung themselves into my arms , to Joe 's great astonishment . "
surprise,"Lin Foh blinked , quite astonished at being spoken to so sharply . "
fear,David is concerned at the length of time he says it took for an ambulance to arrive .
fear,Accountants inevitably greeted the court 's finding with some disquiet .
disgust,"Evreux 's Communist mayor , Roland Plaisance , said he was `` revolted '' by the firing and praised Gaillot 's commitment to `` staying close to the poor and the excluded . ''"
anger,"The Profit Share Scheme was reduced in 1992 but many members have expressed great annoyance that another scheme within the Bank netted two former members of the staff in Britain almost 218,000 between them . "
fear,"Charles was horrified , conscious that his brother was now disqualified as a man of God from leading an invasion , and , as a celibate , from having a legitimate heir . "
happy,` I am so excited about seeing my sons again .
anger,"Strangely , she felt more resentful of this lady 's peremptory commands than she ever had of those of the merchants ' wives she had previously been obliged to swallow . "
sad,He was sad about missing the forthcoming whiskies .
fear,"The Americans were petrified of Communism , and believed Communists were aiming for world domination , via the ` domino effect "" of one country after another falling to it . "
shame,"When I came across it the other day , I was slightly embarrassed . "
surprise,By now Nutmeg was so bewildered that he did n't know what to do .
sad,"The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , warm beer and poor service . "
shame,She was really embarrassed .
shame,"Nobody actually looks at it apart from me , so I 'm not embarrassed about writing that there . "
sad,"They seemed demoralized and miserable , operating an endless mechanical process . "
disgust,Nell swallowed down the revulsion of the word normal .
happy,"It is true that the wonderful advance of our people  has transformed the wilderness into a home where men and women can live comfortably , elegantly , happily , if they are of contented disposition "
happy,"This would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal . "
sad,She in turn had been drawn to him at the time when she was miserable about Jean-Pierre .
happy,At the same time they could become excited about house matches or school matches and take part in such events with earnest aggressiveness .
anger,"Blake looked at the exasperated face of the Doctor , '  but this computer can predict what I 'm going to do . "
surprise,"To those workers who profess bewilderment as to how they might help , who feel their knowledge in sexual matters is insufficient or are doubtful of their capabilities for sexual counselling and aid , one would suggest that they raise the matter within their training departments . "
happy,"Reflecting on the experience , Donia said : `` I think you 're exhilarated by the determination and strength of the human spirit . ''"
fear,Mr Carruthers said that the vast majority of evidence was over but acknowledged he was concerned that Mr McTear would not be able to conclude his testimony .
anger,"The challenge was accepted and amidst cheers from a group of semi-inebriated local husbands , the offended owner headed out the door in search of a couple of friendly Gardai . "
happy,Holmes is happy having the freedom of the house when we are out .
happy,"` We are delighted to help the museum extend its collection , "" said Mr Watson . "
disgust,"` You are all bloody mad , "" screamed the disgruntled player , in a high piping voice . "
anger,She was furious with me .
happy,These days he is quite happy travelling by trolley .
sad,Every time I go to Cambridge I come back depressed as hell ; then as soon as I am back to a Norfolk class spirits soar again .
happy,A wave of cheerful elation swept over her as she separated her pound note from Yanto 's fivers .
sad,I am saddened that the article uses the spurious connection between dialect and poverty as a means of attacking English teaching in this country .
happy,The two observers exchanged amused glances and then wandered away under the trees .
sad,"At a news conference at the Royal Geographical Society in London , they described the mental and physical anguish of their 95-day trek . "
disgust,"It linked the poor performance with the exodus to the West of more than 330,000 East Germans disgruntled with Communism . "
sad,"But the address underlines the anguish of Her Majesty 's speech after the Windsor Castle fire when she referred to 1992 as her ` annus horribilis "" . "
surprise,Serge was astounded to see a bedraggled Lili appear in his room in the middle of the night .
sad,"The Irish President , Mary Robinson , had earlier said she shared the sorrow and anguish of the people of her country . "
surprise,Within moments the bewildered assistant cooks had tied the ropes to the cauldron and suspended the boiling mass over a forked spit rest .
shame,"Jasper reddened and pressed his lip together , and Farraline looked embarrassed . "
disgust,Senator Sherman had shot marginally less well than his son and was openly disgruntled about this .
disgust,This disgruntled minority has a disturbing impact on the performance of other pupils .
surprise,"Suddenly , to the Collector 's astonishment , the Padre gripped him by the throat and shouted : "" A matter of opinion ! "
anger,"But I do n't want an indignant boyfriend on my doorstep breathing fire . "" "
shame,"He goes to live in London with Herbert Pocket , and is turned into a gentleman , living an expensive but futile sort of existence , and becoming ashamed of Joe and his village origins . "
anger,"Unable to help herself , Mrs Abigail made a vexed noise . "
disgust,"The horse , having been abandoned in the traces for twenty-four hours , was utterly disgruntled . "
sad,"Julie 's devastated husband Tim , 32 , was last night preparing to fly from their home in Northampton to identify his wife 's body . "
sad,"Since last May many of these same passers-by have come face to face on their TV screens with the agony , desolation and despair of the people of Ethiopia and the Sudan . "
fear,And you feel anxious about getting the first lot of seeds sown out of doors .
disgust,"In any event , a dissatisfied enquirer can be a disgruntled member ! "
sad,Then the toot of a trumpet and the clown with the enormous sorrowful eyes was coming at her in her ring-side seat and she wanted to run away .
happy,"Rescued dogs are often somewhat nervous of people , and yet may also become excited to see you , when you have been out , for example . "
fear,Country and Western is suitable for calming an agitated animal
disgust,"However , I quite enjoyed describing the horrors of my creation , and shared with Edward Young , the architect , his revulsion for the hideous house , covered in peeling stucco , as chilling within as without . "
sad,The smiles hide the anguish .
shame,"Many solicitors never overcome their own embarrassment about the amount that they charge , though few go on to lower their fees . "
sad,A CLERGYMAN who trains priests yesterday said he was saddened but not surprised that he had been sacked after admitting he does not believe in God .
happy,"` He did n't seem too delighted to see you , "" said Betty . "
disgust,"He looked disgruntled to see Harbury , despite Eliot 's explanation that he wanted Harbury to give what further help Shildon needed . "
fear,"You then left that meeting , rather hurriedly , before it ended , in a very anxious state . "
fear,He gave one swift look at her horrified expression before continuing .
anger,"Germans were resentful of France 's post-war attempts to keep them under close control , and it could not automatically be expected that they would agree to join European institutions . "
happy,Most estate agents were overjoyed at the election result .
fear,"Costly experiments on the teeth of live dogs or primates , not to mention the public disquiet about such animal testing , might be avoided and delays reduced . "
sad,"Feeling oddly bereft and desolate , besieged by Dolly 's incessant chatter , Luce was pleased to get back to the hotel . "
surprise,"Lin Foh blinked , quite astonished at being spoken to so sharply . "
anger,"Lissa gazed up at him , at his vexed expression , and tried to quell the smile that pulled at her lips . "
shame,"` It 's inconceivable , I agree , "" responded Howard , waving a well-manicured hand , his plump face pink with embarrassment at the directness of Newman . "
surprise,She realised with astonishment that he was actually pleading .
fear,Gary 's expression became even more anxious .
anger,"` Then you can do so today -- at the barbecue , "" Lucy hissed , suddenly infuriated with them both , although more so with Silas than with Doreen . "
surprise,Paul 's tone and expression showed his puzzlement .
surprise,Another step forward and Pooley noted to his utter stupefaction that it had vanished altogether into empty air .
surprise,I 'm downright flabbergasted to know you 're treatin' Dolly so unkind an' beatin' 'er as well .
shame,"Her meagre shilling donation was an embarrassment in this wealthy company , but she refused to think of it . "
anger,The anger in her voice took him aback .
happy,So I was in a great state of elation .
surprise,He looked quite nonplussed .
happy,"For Andrew , the trip up to London to the awards ceremony attended by the Princess of Wales , was almost overshadowed by his excitement over his first journey on a train up to the capital . "
happy,"Glancing up at his face , Cassie saw his expression change , his face darkening and hardening as his mounting excitement and desire seemed to quicken into something uncontainable , threatening , like the tide of an incoming sea , to engulf them both . "
happy,"Delighted about Jim , apprehensive for Jasper , Alice lay for a long time awake in the silent room . "
sad,"Cowed , he stiffened his stance , his eyes slightly downcast . "
shame,"Several of the men , though none of the women , made embarrassed noises of dissent . "
surprise,George knew that she was a bit nonplussed at his eagerness for her to have her own social life .
fear,I have received no representations on that matter and I am not aware of any disquiet among the groups that the hon. Gentleman described .
happy,"The book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific : Jones 's own delight in physics enthusiastically drawing the sting out of his own criticism . "
anger,She would be doubly furious at having been deceived in exactly the same way by two successive men .
anger,"LAUSANNE , Switzerland --- The IOC is miffed that baseball has n't opened the sport to professionals for the Olympics ."
fear,He was petrified of the clippers at first .
happy,"I 'm absolutely delighted that we achieved what we set out to do at the beginning of the week , which was to ensure that the Ryder Cup stayed on this side of the Atlantic . "
fear,"These problems can vary in intensity from parents concerned about how to wean , to parents ' neglecting and underfeeding their children . "
sad,Was n't there one word of sympathy he could offer to ease her sorrow at having loved and lost him ?
surprise,Constance looked at him in bewilderment .
sad,She knew that his Gothic romance and glossary were being turned down by publisher after publisher and he grew despondent as he rewrote and rewrote again .
surprise,Their heads were close together and as he appeared they all looked up in unison with startled faces and fell silent .
fear,The next morning I awoke anxious over what had happened .
anger,Parkin sighed with exasperation .
sad,"And our hero in his turn , felt despondent and fearful , for his little grey mentor had given him no instructions for this eventuality . "
happy,Maggie felt an odd excitement stirring inside .
surprise,Mrs Syms 's astonishment at her appearance was almost comical .
happy,"This time Ronni admitted it , feeling a little like a traitor at the confession -- and at the sense of pure delight she felt at Guido 's gesture . "
happy,"` Well ? "" he barked , clearly not ecstatic that she thought she could lay down conditions . "
happy,Guy Sterne was having great difficulty in controlling his amusement .
fear,"Suddenly , a wave of tiredness swept through her and she closed her eyes for a moment , during which the girl remained quiet , but visibly agitated and eager to be getting on with her work . "
fear,"Rose stood looking down at her , a worried expression in her eyes . "
sad,She looked up at Phoebe with an anguished expression that was nearly honest repentance .
shame,"He seems slightly embarrassed discussing the incident , but admits to going on a shopping spree with someone else 's card , and buying shoes , clothes and dinner for himself and his friends . "
fear,"Equally inevitably , there was outrage and dismay in India . "
anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
disgust,"A disgruntled postman rang up a radio chat show to complain , and found himself spearheading an anti-Florio movement that culminated in 50,000 people marching on the state capitol . "
sad,"But , not surprisingly , many parents continue to feel anxious , tense and sad about their children . "
anger,"To Meryl 's vexation , the boundary wall proved to be nearly eight feet high . "
disgust,"In any event , a dissatisfied enquirer can be a disgruntled member ! "
anger,He also was miffed that World Tour organizers did not contact enough players before going public .
fear,"The boss sounded agitated when I spoke to him over the phone . "" "
sad,He was not inconsolable .
surprise,"Her lovely face reflecting her complete and utter bewilderment , she queried slowly , ` Why on earth would I want to claim kinship ? "" "
anger,"Mr Patten , however , is engaged in more than simply relieving his own exasperation at Beijing 's procrastination . "
sad,"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . "
shame,"` You 're too ashamed of your own contribution to our relationship . "" "
happy,"Mr Mitterrand appears so delighted with the ultra-courteous Edouard Balladur , that some Socialists wonder whether he has at last found the prime minister of his dreams . "
disgust,A comic romp starring Billy Crystal in which a group of disgruntled New Yorkers play out their frontiersmen fantasies on a two week cattle-drive in New Mexico .
fear,You 're frightened to go to sleep .
happy,He appeared delighted at the prospect .
fear,"I 'm so frightened the feeling will go away , it 's too fragile , and I do so want it not to break . "
anger,"The more resentful and unforgiving Willie Morgan , was taken to court and then had to terminate a lucrative six year contract after only nine months . "
sad,"Their mother died a month later , heartbroken by the loss of her mate . "
disgust,THE Government 's cash-before-care NHS shake-up has come under fire -- from sickened hospital managers .
surprise,"What 's so terrible for IMP in that ? "" she blustered , still bewildered why he should find the idea of it so important . "
happy,"Riot police were needed to quell pitch invasions. -- More than 200,000 ecstatic Leeds United fans took part in a carnival-style street party yesterday as their team paraded the League Championship trophy . "
anger,Tabitha Campbell-Black was livid because she won a bag of Bailey 's Performance Mix horse feed rather than a T-shirt with a picture of a polo pony on the front .
anger,"` Good heavens , no , lady "" came the indignant reply . "
disgust,He felt too let-down and disgruntled .
shame,But instances like the Primitives get rarer and already one feels ashamed for indulging such backward passions .
fear,"Slowly , he corners the frightened younger boy , talks reassuringly as he kisses and caresses him . "
surprise,"Quick -- sign the register , get out , escape from the puzzlement in her eyes . "
happy,"Yes , I 'd like to declare a small case of French flu , a dangerous fondness for Flaubert , a childish delight in French road-signs , and a love of the light as you look north . "
fear,Some of the house servants were missing and everybody looked frightened .
happy,"Even falling asleep as he was , McLeish was amused at Bruce Davidson 's hopeful , proprietorial air . "
sad,"On the other hand , the most important person , the cameraman , wore jeans and a Micky Mouse T-shirt , over which his mournful , deadpan moon face shone incongruously . "
fear,"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . "
happy,"Whether or not the Palace actually arranged for the drawing to be removed , there can be little doubt that they were delighted to be rid of it . "
anger,"I do n't care if you 're offended , that 's the truth . "" "
disgust,We were feeling rather disgruntled at how many good films we 'd obviously missed when a man came on to the stage to read the nominations for one of the categories .
fear,The idea of their having a say in the running of a club appears to make officials recoil with horror .
happy,"He seemed pleased to remind us of yet more evidence of Bouilland 's humming modernity , and took us out into the sun again . "
shame,"This is not a problem at Center Parcs , where everyone else is so inept that you are embarrassed to show them up . "
fear,"Mr McWhinney ( 55 ) , of Drumhark Road , Comber , died instantly when his single-engined Pulsar plunged to the ground in front of horrified spectators . "
fear,"However , does the right hon. Gentleman recognise that profound disquiet has been expressed about some of the proposals in the Bill , particularly the fast-track ones ? "
shame,"He goes to live in London with Herbert Pocket , and is turned into a gentleman , living an expensive but futile sort of existence , and becoming ashamed of Joe and his village origins . "
anger,"The Germans themselves , reported William Shirer , seemed glum and resentful at the prospect of war . "
happy,"Audiences were thrilled , box office cash registers jingled and careers were made . "
disgust,The disgruntlement among its two million members is almost palpable .
happy,"At the beginning of the O-level summer term I weighed eight stone three pounds and , if I was pleased at having lost two pounds , I certainly did n't say so . "
sad,"In spite of everything , Burun felt depressed by the whole affair and could not understand why . "
sad,"Penelope Huntley sat silent through this speech , chain-smoking , her eyes downcast . "
anger,Lili was getting exasperated .
anger,"Lissa hated the cold incisiveness of his tone , and she was angry with herself for caring so much . "
sad,"` In fact , "" said Helen , ` I 'm not feeling particularly glum about all this . "
fear,Deep down I get more and more frightened .
sad,"Support for the Greens may have shrunk but it was still at the same level as the Liberal Democrats "" , the third party in Parliament , so perhaps Ms Cooke was unduly downcast . "
shame,He cursed his lack of self-control ; he knew that the old biddies had seen it and he felt humiliated .
fear,"It 'll be very loud and you might get frightened . "" "
anger,"His mother had begun to feel very angry about his refusal to eat as he had started to lose weight , which worried her . "
fear,Listening to parents in the playground and at more formal events such as parents ' evenings should alert staff to early stages of parental disquiet .
anger,She was cross at the way he had treated her as though she were n't a normal girl -- some kind of freak .
disgust,Woody Allen wrote and directed this comedy in which he stars as New Yorker Isaac Davis who is in love with his city but disgruntled with his job as a TV comedy writer .
disgust,He felt too let-down and disgruntled .
disgust,FACTORY workers fed-up with secretary Carolyn Bullock 's dodgy parking hoisted her car on to the firm 's roof with a crane .
anger,"The onlookers at first thought this accident was part of the show and were creased with laughter , making the poor man even more irate . "
shame,This may all sound very trivial but it has the effect of making me almost hate my body to the extent that I feel ashamed to let John see me naked .
disgust,"There was , as yet , no significant revulsion amongst the general public towards the use of nuclear weapons to save manpower . "
sad,"She still , after all these years , did not know , and one hand clenched in involuntary anguish at what she thought of as her intolerable betrayal of her brother . "
surprise,Shiona frowned at the phone in total bewilderment .
anger,"His tone became more confident , slightly indignant . "
sad,"He was not overwhelmed with grief for Kit , but evidently his eyes felt otherwise . "
shame,"I 'm not ashamed to speak the truth . "" "
fear,"In one room , a frightened man bared his back which was a mass of scabs and bruises . "
anger,A European consumers ' pressure group is angry at the chaotic state of control on such potentially-lethal products .
fear,"` And I 'm frightened that if I go down to the cellars I might die . "" "
sad,"Then , still depressed at being ditched , he drank eight pints on a night out with other squaddies , said prosecutor Graham Boal . "
fear," It was just like Rambo ,  said one of the scores of horrified students who fled from the university after the massacre . "
surprise,"But when I looked up , I saw , to my great astonishment , a large island in the sky , between me and the sun . "
fear,"In his meeting with Bush , zal reportedly sought to express his disquiet about a bill passing through the US Congress aimed at marking the "" 75th anniversary of the Armenian genocide of 1915-23 "" . "
fear,"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . "
